designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
Gaia DR3 4472835910502659584,4472835910502659584,269.41237965344556,4.765218732111332,1.151614694700234,-9.47390564859248,-6.992168062439993,1.0900431,18.991894,2.0886555,,NOT_AVAILABLE,0,false,false,false,false,false,true,false,3471.4497,4.8995,-0.7514,508.2103,0.2286,0.1553,0.0887
Gaia DR3 4472835910502666624,4472835910502666624,269.4137964616641,4.767093768072064,-0.03506562889688921,0.05524601354562794,-0.9856637466401011,0.9890333,18.84964,1.1688614,,NOT_AVAILABLE,0,false,false,false,false,false,true,false,4591.5156,4.8177,-1.2236,1842.9717,0.016,0.0124,0.0067
Gaia DR3 4472835910509880832,4472835910509880832,269.41223705473897,4.7643360629419895,0.03149562327715085,1.0895043004717748,-3.5733282503666515,0.9742544,20.46527,1.4853458,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 4472835910509919104,4472835910509919104,269.41691004374775,4.7583887822042685,-2.5664820137603876,2.647779591600066,-5.270606063127989,1.0213698,20.711746,1.1346722,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 4472835910509925760,4472835910509925760,269.4177191496556,4.76858934282849,,,,,20.97871,1.5670433,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 4472835910509942528,4472835910509942528,269.4196654935569,4.76638009329666,0.6197871212140839,-5.233627385287692,-14.700711800085404,0.9703872,20.51314,1.242693,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 4472835910509973376,4472835910509973376,269.42340016421645,4.758812197834091,0.43181269850475607,-1.8776362606874044,-8.835905883778782,1.065377,20.04769,2.017746,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 4472835914798805248,4472835914798805248,269.41931715930696,4.760581800858491,0.3310969379471065,-2.011165183282382,-5.561637652938017,0.97629523,19.77861,1.0458088,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 4472835914798806656,4472835914798806656,269.4153973201078,4.756148574988049,-0.07945884968996232,-2.2548958898074964,-4.810059350089346,0.963918,19.692614,1.5919476,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 4472835914798807040,4472835914798807040,269.4156046589069,4.757268219215219,,,,,21.216444,1.5800304,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 4472835914798811904,4472835914798811904,269.4168851097389,4.767300940240924,0.8738053440834407,-2.2240918428993326,-5.527430449020709,0.94937336,20.64038,1.3534126,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 4472835914801589888,4472835914801589888,269.41467132915886,4.755103842214688,0.5533518605211071,-1.7960918566437163,-7.994541651006569,1.1832056,14.837437,1.0072031,,NOT_AVAILABLE,0,true,true,false,false,false,true,true,5932.187,3.699,-0.2098,2483.0007,0.548,0.4536,0.2435
